Section Name,Lip type,,Fy (MPa),G (MPa),E (MPa),Mass (kg/m),Weight (kN/m),Area (mm2),Ixx (mm4),Iyy (mm4),Izz (mm4),Elastic Section Moduli Zxx (mm3),Elastic Section Moduli Zyy (mm3),Radi of Gyration rx (mm),Radi of Gyration ry (mm),Radi of Gyration ro (mm),Plastic Section Moduli Sxx (mm3),Plastic Section Moduli Syy (mm3),Torsion Const J (mm4),Warping Const Iw (mm4),Shear Areas  As-x (mm2),Shear Areas  As-y (mm2),xol-x-mo (mm),Local-factor-x-mo,xod-x-mo (mm),Dist-factor-x-mo,xol-y-mo-web-comp (mm),Local-factor-y-mo-web-comp,xod-y-mo-web-comp (mm),Dist-factor-y-mo-web-comp,xol-y-mo-web-ten (mm),Local-factor-y-mo-web-ten,Xod-y-mo-web-ten (mm),Dist-factor-y-mo-web-ten,xol-x-N (mm),Local-factor-x-N,xod-x-N (mm),Dist-factor-x-N,xc (mm),yc (mm),x0_shear (mm),y0_shear (mm),a (mm),b (mm),t (mm),c (mm),,
FC 310,Outer lipped,,270,78100,203000,0.508,0.00498,63.5,11400,28000,39400,600,823,13.4,21,24.9,774,1230,5.28,1200000,19.3,61.6,29,1.25,29,1.25,41,1.42,41,1.42,41,1.42,41,1.42,41,0.773,41,0.773,33.9,16.2,-33.9,16.2,40,35,0.55,10,,
Lipped Stud 401,Inner lip,Wall,270,78100,203000,0.527,0.00517,65.9,29800,10500,40400,1160,470,21.3,12.6,24.7,1310,733,5.46,5740000,25.4,34.5,38.3,0.969,284,0.664,38.3,1.28,38.3,1.28,53.5,2.74,284,0.746,53.5,0.616,397,0.465,12.8,25.7,-41.4,25.7,51,35.5,0.5,6,,
Lipped Stud 112,Inner lip,Wall,270,78100,203000,0.578,0.00567,72.2,49200,11300,60600,1530,484,26.1,12.5,29,1750,771,5.98,9160000,31.8,34.5,44.5,0.938,354,0.606,44.5,0.804,44.5,0.804,62.9,2.64,354,0.666,62.9,0.351,354,0.418,11.8,32.1,-38.5,32.1,63.5,35.5,0.5,6,,
Lipped Stud 403,Inner lip,Wall,270,78100,203000,0.699,0.00685,87.4,83900,13800,97700,2160,560,31,12.6,33.4,2500,896,8.76,15900000,41.9,38,53,1.05,303,0.624,75,0.665,75,0.665,53,2.8,303,0.763,37,0.318,303,0.378,11.2,38.8,-36.8,38.8,76.2,35.5,0.55,6,,
Lipped Stud 251,Inner lip,Wall,270,78100,203000,0.769,0.00754,96.1,129000,14600,144000,2760,572,36.7,12.3,38.7,3230,900,9.64,24000000,50.7,38,59,0.895,353,0.586,84,0.476,84,0.476,41,2.73,353,0.755,84,0.164,353,0.29,10.3,46.7,-34.1,46.7,92.1,35.5,0.55,6,,
Lipped Stud 489,Inner lip,Wall,270,78100,203000,0.766,0.00752,95.8,42600,15200,57900,1660,651,21.1,12.6,24.6,1890,1050,17.9,7970000,38.1,51.8,36,1.58,254,1.09,36,1.94,36,1.94,26.4,4.43,254,1.22,50,0.884,254,0.799,12.5,25.6,-40.5,25.6,51,35.5,0.75,6,,
Lipped Stud 491,Inner lip,Wall,270,78100,203000,0.871,0.00854,109,72500,16700,89200,2250,679,25.8,12.4,28.6,2600,1110,20.3,13100000,47.6,51.8,35,1.64,241,1,25,6.96,92,4.02,35,4.13,241,1.19,35,1.59,241,0.697,11.2,32.2,-36.8,32.2,63.5,35.5,0.75,6,,
Lipped Stud 493,Inner lip,Wall,270,78100,203000,0.947,0.00928,118,110000,17700,128000,2850,696,30.5,12.2,32.9,3320,1140,22.1,19400000,57.2,51.8,27,1.65,263,0.938,27,3.76,99,2.78,27,3.96,263,1.16,37,1.33,263,0.587,10.3,38.6,-34.5,38.6,76.2,35.5,0.75,6,,
Lipped Stud 495,Inner lip,Wall,270,78100,203000,1.04,0.0102,130,170000,18800,189000,3660,712,36.2,12,38.1,4310,1160,24.3,29600000,69.1,51.8,31,1.62,233,0.876,61,1.99,119,1.83,31,3.75,233,1.18,43,0.681,327,0.474,9.4,46.5,-32,46.5,92.1,35.5,0.75,6,,
Lipped Stud 511,Inner lip,Wall,270,78100,203000,1.36,0.0133,169,523000,19100,542000,6890,681,55.5,10.6,56.5,8430,1080,31.7,84000000,113,51.8,88,0.781,263,0.586,127,0.6,127,0.6,29,3.59,263,1.12,127,0.118,127,0.118,7.85,75.9,-24.9,75.9,150,35.5,0.75,66,,
Lipped Stud 661,Inner lip,Wall,270,78100,203000,1.26,0.0124,158,104000,22600,126000,3210,925,25.6,12,28.3,3740,1560,69,17700000,73,79.4,34,0.373,163,1.69,65,5.46,65,5.46,26,9.85,223,2.06,47,1.96,223,1.19,11.5,32.3,-36,32.3,63.5,35.5,1.15,6,,
Lipped Stud 671,Inner lip,Wall,270,78100,203000,1.38,0.0135,172,158000,23800,181000,4070,944,30.3,11.8,32.5,4790,1580,75.5,26400000,87.6,79.4,39,3.67,193,1.55,74,3.84,74,3.84,28,9.17,193,1.96,74,1.18,193,0.961,10.7,38.7,-33.6,38.7,76.2,35.5,1.15,6,,
Lipped Stud 681,Inner lip,Wall,270,78100,203000,1.52,0.0149,191,245000,25100,270000,5250,962,35.9,11.5,37.7,6230,1590,83.5,40400000,106,79.4,43,3.52,225,1.47,84,2.72,84,2.72,31,8.64,225,1.97,84,0.74,162,0.727,9.84,46.7,-31,46.7,92.1,35.5,1.15,6,,
Lipped Stud 691,Inner lip,Wall,270,78100,203000,2.06,0.0202,257,784000,28300,812000,10300,1000,55.2,10.5,56.2,12700,1620,113,122000000,173,79.4,78,1.48,224,1.02,111,1.31,111,1.31,27,8.24,224,1.91,158,0.232,158,0.232,7.78,75.8,-24.6,75.8,150,35.5,1.15,6,,
Wall Stud Track 400,C shaped,Wall,270,78100,203000,1,0.00981,56.7,26500,6120,32600,1020,313,21.3,10.5,23.7,1180,537,4.85,2840000,26.3,29,35,0.854,160,0.457,7.68,6.23,47.5,0.739,33,1.79,160,0.554,47,0.343,188,0.348,9.62,-26,-22.5,-26,52.5,29,0.5,0,,
Wall Stud Track 111,C shaped,Wall,270,78100,203000,1,0.00981,63.1,43600,6570,50200,1350,322,26,10.3,28,1580,555,5.38,4730000,23.6,29,38,0.799,177,0.428,5.91,12.2,57,0.576,33,1.61,177,0.538,51.4,0.224,177,0.285,8.71,-32.3,-20.9,-32.3,65.2,29,0.5,0,,
Wall Stud Track 402,C shaped,Wall,270,78100,203000,1,0.00981,69.4,65900,6950,72900,1700,329,30.5,10.1,32.1,2010,558,5.91,7200000,39,29,41,0.713,200,0.409,5,25,56.6,0.462,41,1.51,200,0.533,56.6,0.16,56.6,0.16,7.96,-38.7,-19.6,-38.7,77.9,29,0.5,0,,
Wall Stud Track 250,C shaped,Wall,270,78100,203000,1,0.00981,77,102000,7330,109000,2190,335,36,9.9,37.3,2620,559,6.57,11200000,46.9,29,45,0.57,164,0.371,5,25,62.5,0.375,45,1.43,164,0.546,62.5,0.113,62.5,0.113,7.2,-46.6,-18.2,-46.6,92.75,29,0.5,0,,
Wall Stud Track 490,C shaped,Wall,270,78100,203000,1,0.00981,79.4,37400,8400,45800,1430,432,21.4,10.4,23.8,1650,747,13.3,3970000,37.2,40.6,31,1.59,133,0.743,7.2,14.4,41.4,1.51,31,2.94,178,0.914,41.4,0.658,133,0.578,9.27,-26.1,-22.3,-26.1,53.1,29,0.7,0,,
Wall Stud Track 492,C shaped,Wall,270,78100,203000,1,0.00981,88.3,60700,9010,69700,1880,443,26,10.3,28,2190,772,14.7,6510000,45.9,40.6,33,1.49,147,0.694,10,8.55,44.7,1.16,33,2.72,147,0.833,60.2,0.446,44.7,0.45,8.39,-32.3,-20.8,-32.3,65.5,29,0.7,0,,
Wall Stud Track 494,C shaped,Wall,270,78100,203000,1,0.00981,97.2,91500,10200,102000,2370,453,30.4,10.1,32,2800,776,16.2,9860000,54.7,40.6,36,1.36,165,0.659,4.32,51.1,66.3,0.934,36,2.54,165,0.866,66,0.312,66.3,0.312,7.65,-38.6,-19.6,-38.6,78.1,29,0.7,0,,
Wall Stud Track 496,C shaped,Wall,270,78100,203000,1,0.00981,108,144000,10100,154000,3060,462,36.1,9.85,37.4,3670,780,18,15500000,66.1,40.6,39,1.14,137,0.618,6.14,29.5,73.5,0.732,39,2.36,187,0.884,74,0.213,73.5,0.213,6.86,-46.8,-18.1,-46.8,94.5,29,0.7,0,,
Wall Stud Track 660,C shaped,Wall,270,78100,203000,1,0.00981,142,96100,13500,110000,2970,589,26,10,27.9,3460,1130,63.3,9700000,75.8,73.6,80,0.893,79.8,0.893,7,63.2,59,5.31,43.6,1.44,79.8,1.24,79.8,0.71,79.8,0.71,7.91,-31.9,-19.5,-31.9,65.9,32,1.15,0,,
Wall Stud Track 670,C shaped,Wall,270,78100,203000,1,0.00981,157,145000,15500,161000,3760,604,30.4,9.84,32,4430,1140,69.7,14800000,90.4,73.6,69.1,0.868,69,0.868,10,33.7,69.1,3.95,69.1,1.22,69.1,1.22,94.7,0.608,94.7,0.608,7.19,-38.2,-18.3,-38.2,78.6,32,1.15,0,,
Wall Stud Track 680,C shaped,Wall,270,78100,203000,1,0.00981,176,225000,15000,240000,4830,618,35.8,9.57,37.1,5780,1150,77.8,22900000,109,73.6,79.6,0.848,79.6,0.848,16,17.9,79.6,2.95,41.5,1.46,79.6,1.23,110,0.475,110,0.475,6.45,-46.2,-16.9,-46.2,94.5,32,1.15,0,,
Quiet Stud RQST,C shaped,Wall,275,78100,203000,1.12,0.011,140,151000,30700,182000,3090,1060,32.9,14.8,36.1,3890,1840,14,60100000,50.6,48.4,66,0.705,367,0.518,33,0.879,33,0.879,48,2.39,367,0.686,47,0.462,367,0.495,16.9,49,-35.8,49,92,45,0.55,6,,
SRPSS051055,Inner lip,Stud SRP,275,78100,203000,0.539,0.00528,67.4,30200,9500,39700,1190,420,21.2,11.9,24.3,1340,645,6.79,4800000,27.9,36,30,0.992,250,0.802,40,0.897,40,0.897,30,2.8,250,0.848,40,0.424,250,0.534,10.9,25.4,26.1,25.4,51,32,0.55,5.48,,
SRPSS064055,Inner lip,Stud SRP,275,78100,203000,0.595,0.00583,74.3,49900,10200,60100,1570,433,25.9,11.7,28.4,1790,683,7.5,7780000,34.9,36,30,0.97,250,0.732,50,0.665,50,0.665,30,2.62,250,0.817,50,0.279,250,0.447,9.85,31.8,24.3,31.8,64,32,0.55,5.48,,
SRPSS075055,Inner lip,Stud SRP,275,78100,203000,0.645,0.00633,80.7,72900,10800,83700,1940,442,30.1,11.6,32.2,2230,702,8.13,11300000,41.3,36,40,0.904,250,0.679,60,0.538,60,0.538,30,2.5,250,0.806,60,0.203,250,0.366,9.07,37.5,22.9,37.5,75,32,0.55,5.48,,
SRPSS092055,Inner lip,Stud SRP,275,78100,203000,0.72,0.00706,90,117000,11500,128000,2540,453,36,11.3,37.7,2950,707,9.08,17900000,50.6,36,50,0.715,250,0.611,70,0.417,70,0.417,30,2.37,300,0.803,70,0.137,70,0.137,8.13,46,21.2,46,92,32,0.55,5.48,,
SRPSS100055,Inner lip,Stud SRP,275,78100,203000,0.755,0.00741,94.4,142000,11800,154000,2840,457,38.8,11.2,40.3,3320,709,9.52,21600000,55,36,60,0.628,250,0.58,80,0.379,80,0.379,30,2.33,250,0.804,80,0.117,80,0.117,7.75,50,20.5,50,100,32,0.55,5.48,,
SRPSS150055,Inner lip,Stud SRP,275,78100,203000,0.975,0.00956,122,373000,13100,386000,4970,475,55.3,10.3,56.2,6010,733,12.3,54800000,82.5,36,80,0.3,250,0.381,110,0.236,110,0.236,30,2.14,250,0.79,110,0.0528,110,0.0528,6,75,16.9,75,150,32,0.55,5.48,,
SRPSS051075,Inner lip,Stud SRP,275,78100,203000,0.729,0.00715,91.1,40400,12600,53100,1590,555,21.1,11.8,24.1,1810,864,17.1,6300000,38.1,49.1,30,1.84,200,1.13,40,1.69,40,1.69,30,5.12,200,1.22,40,0.793,200,0.768,10.8,25.4,25.8,25.4,51,32,0.75,5.48,,
SRPSS064075,Inner lip,Stud SRP,275,78100,203000,0.805,0.0079,101,67000,13600,80600,2110,574,25.8,11.6,28.3,2410,915,18.9,10300000,47.6,49.1,30,1.8,200,1.04,50,1.25,50,1.25,30,4.79,200,1.19,50,0.52,200,0.648,9.74,31.8,24.1,31.8,64,32,0.75,5.48,,
SRPSS075075,Inner lip,Stud SRP,275,78100,203000,0.874,0.00857,109,98000,14400,112000,2610,586,29.9,11.5,32.1,3010,940,20.5,14900000,56.3,49.1,40,1.67,200,0.974,60,1.01,60,1.01,30,4.57,250,1.17,60,0.378,200,0.533,8.97,37.5,22.7,37.5,75,32,0.75,5.48,,
SRPSS092075,Inner lip,Stud SRP,275,78100,203000,0.976,0.00957,122,157000,15300,173000,3420,601,35.9,11.2,37.6,3990,947,22.9,23600000,69,49.1,50,1.32,200,0.885,70,0.784,70,0.784,30,4.35,250,1.16,70,0.254,70,0.254,8.03,46,21,46,92,32,0.75,5.48,,
SRPSS100075,Inner lip,Stud SRP,275,78100,203000,1.02,0.01,128,191000,15700,207000,3820,606,38.6,11.1,40.2,4490,953,24,28600000,75,49.1,60,1.16,200,0.845,80,0.711,80,0.711,30,4.26,250,1.16,80,0.216,80,0.216,7.66,50,20.2,50,100,32,0.75,5.48,,
SRPSS150075,Inner lip,Stud SRP,275,78100,203000,1.32,0.013,166,503000,17400,521000,6710,630,55.1,10.2,56.1,8150,984,31,72600000,113,49.1,80,0.553,250,0.568,110,0.441,110,0.441,30,3.94,200,1.15,120,0.0967,120,0.0967,5.92,75,16.7,75,150,32,0.75,5.48,,
SRPSS051115,Inner lip,Stud SRP,275,78100,203000,1.1,0.0108,137,59900,18400,78300,2360,802,20.9,11.6,23.9,2700,1280,60.6,8950000,58.4,75.3,150,1.88,150,1.88,40,4.09,40,4.09,170,2.06,170,2.06,40,1.87,170,1.29,10.5,25.4,25.3,25.4,51,32,1.15,5.48,,
SRPSS064115,Inner lip,Stud SRP,275,78100,203000,5.74,0.0563,713,4520000,843000,5360000,43900,11000,79.6,34.4,86.7,43900,27700,858,5830000000,386,291,110,1.12,110,1.12,110,1.69,600,1.42,100,1.95,600,1.19,150,0.208,600,0.369,0,102,0,102,64,32,1.15,5.48,,
SRPSS075115,Inner lip,Stud SRP,275,78100,203000,1.32,0.013,165,146000,21000,167000,3900,848,29.7,11.3,31.8,4500,1390,72.9,21300000,86.3,75.3,160,1.64,160,1.64,60,2.44,60,2.44,170,1.98,170,1.98,60,0.885,170,0.913,8.76,37.5,22.2,37.5,75,32,1.15,5.48,,
SRPSS092115,Inner lip,Stud SRP,275,78100,203000,1.48,0.0145,185,235000,22300,257000,5110,870,35.7,11,37.3,6000,1400,81.5,34000000,106,75.3,170,1.5,170,1.5,70,1.88,70,1.88,170,1.97,170,1.97,70,0.593,70,0.593,7.84,46,20.5,46,92,32,1.15,5.48,,
SRPSS100115,Inner lip,Stud SRP,275,78100,203000,1.55,0.0152,194,286000,22900,309000,5720,878,38.4,10.9,39.9,6740,1410,85.5,41200000,115,75.3,170,1.43,170,1.43,80,1.7,80,1.7,170,1.97,170,1.97,80,0.5,80,0.5,7.47,50,19.8,50,100,32,1.15,5.48,,
SRPSS150115,Inner lip,Stud SRP,275,78100,203000,2.01,0.0197,252,757000,25300,782000,10100,913,54.9,10,55.8,12300,1430,111,105000000,173,75.3,180,1.01,180,1.01,120,1.04,120,1.04,170,1.93,170,1.93,150,0.213,150,0.213,5.76,75,16.3,75,150,32,1.15,5.48,,
SRPST051055,C shaped,Bottom Track,300,78100,203000,0.479,0.0047,59.9,27100,5530,23700,1040,255,21.3,9.61,23.3,1180,465,6.04,2510000,28.6,32.6,60,0.201,60,0.201,40,1.07,40,1.07,70,0.29,70,0.29,70,0.167,70,0.167,7.93,26,19.5,26,51,30,0.55,0,,
SRPST064055,C shaped,Bottom Track,300,78100,203000,0.534,0.00524,66.8,44500,5870,50300,1370,261,25.8,9.38,27.5,1580,472,6.73,4160000,35.6,32.5,70,0.197,70,0.197,50,0.803,50,0.803,70,0.29,70,0.29,80,0.147,80,0.147,7.06,32.3,17.9,32.3,64,30,0.55,0,,
SRPST075055,C shaped,Bottom Track,300,78100,203000,0.593,0.00582,74.2,66400,6750,73200,1740,284,29.9,9.54,31.4,2020,510,7.48,6710000,41.9,33.6,70,0.181,70,0.181,60,0.635,60,0.635,70,0.27,70,0.27,90,0.121,90,0.12,6.8,38.1,17.6,38.1,75,30,0.55,0,,
SRPST092055,C shaped,Bottom Track,300,78100,203000,0.666,0.00653,83.3,106000,6970,113000,2270,286,35.6,9.15,36.8,2680,502,8.4,10600000,51.2,33.3,70,0.18,70,0.18,70,0.495,70,0.495,70,0.272,70,0.272,100,0.0916,100,0.0916,5.96,46.6,16,46.6,92,30,0.55,0,,
SRPST100055,C shaped,Bottom Track,300,78100,203000,0.714,0.00701,89.3,133000,8140,141000,2620,317,38.5,9.55,39.7,3100,555,9.01,14600000,55.6,35,80,0.162,80,0.162,80,0.43,80,0.43,70,0.246,70,0.246,110,0.0787,110,0.0787,6.12,50.6,16.5,50.6,100,30,0.55,0,,
SRPST150055,C shaped,Bottom Track,300,78100,203000,0.917,0.00899,115,337000,7430,344000,4460,290,54.2,8.05,54.8,5510,498,11.6,31500000,83.1,32.8,100,0.153,100,0.153,130,0.271,130,0.271,70,0.275,70,0.275,150,0.0373,150,0.0373,4.18,75.6,12.3,75.6,150,30,0.55,0,,
SRPST051075,C shaped,Bottom Track,300,78100,203000,0.891,0.00874,111,57000,29800,86800,2180,898,22.6,16.4,27.9,2370,1570,20.9,13900000,39.3,74.2,100,0.14,100,0.14,40,1.44,40,1.44,110,0.2,110,0.2,110,0.126,110,0.126,16.2,26.2,37.4,26.2,51,30,0.75,0,,
SRPST064075,C shaped,Bottom Track,300,78100,203000,0.729,0.00715,91.1,61000,8000,69000,1870,354,25.9,9.37,27.5,2150,645,17.1,5700000,48.8,45.5,70,0.367,70,0.367,50,1.49,50,1.49,70,0.54,70,0.54,80,0.272,80,0.272,7.05,32.5,17.9,32.5,64,30,0.75,0,,
SRPST075075,C shaped,Bottom Track,300,78100,203000,0.81,0.00794,101,91000,9200,100000,2380,386,30,9.53,31.5,2760,692,19,9180000,57.4,46,70,0.337,70,0.337,60,1.18,60,1.18,70,0.502,70,0.502,90,0.224,90,0.224,6.79,38.3,17.6,38.3,75,30,0.75,0,,
SRPST092075,C shaped,Bottom Track,300,78100,203000,0.909,0.00891,114,145000,9500,154000,3090,389,35.7,9.14,36.8,3660,690,21.3,14500000,70.2,45.6,70,0.334,70,0.334,70,0.918,70,0.918,70,0.507,70,0.507,100,0.17,100,0.17,5.95,46.8,16,46.8,92,30,0.75,0,,
SRPST100075,C shaped,Bottom Track,300,78100,203000,0.975,0.00956,122,182000,11100,193000,3570,430,38.6,9.54,39.8,4240,759,22.8,20000000,76.2,47.8,80,0.301,80,0.301,80,0.797,80,0.797,70,0.458,70,0.458,110,0.146,110,0.146,6.12,50.8,16.5,50.8,100,30,0.75,0,,
SRPST150075,C shaped,Bottom Track,300,78100,203000,1.25,0.0123,156,460000,10100,470000,6070,394,54.3,8.05,54.9,7530,682,29.3,43000000,114,44.8,100,0.284,100,0.284,130,0.503,130,0.503,70,0.511,70,0.511,150,0.0692,150,0.0692,4.18,75.8,12.2,75.8,150,30,0.75,0,,
SRPST051115,C shaped,Bottom Track,300,78100,203000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRPST064115,C shaped,Bottom Track,300,78100,203000,1.12,0.011,140,94600,12300,107000,2870,538,26,9.36,27.6,3320,988,61.7,8830000,75.8,68.6,70,0.863,70,0.863,50,3.46,50,3.46,70,1.27,70,1.27,80,0.636,80,0.636,7.04,32.9,17.9,32.9,64,30,1.15,0,,
SRPST075115,C shaped,Bottom Track,300,78100,203000,1.24,0.0122,155,141000,14100,155000,3640,586,30.1,9.52,31.6,4250,1060,68.5,14200000,89,70.9,70,0.793,70,0.793,60,2.74,60,2.74,70,1.18,70,1.18,90,0.522,90,0.522,6.78,38.7,17.6,38.7,75,30,1.15,0,,
SRPST092115,C shaped,Bottom Track,300,78100,203000,1.4,0.0137,174,224000,14600,238000,4740,591,35.8,9.14,37,5630,1060,76.9,22300000,109,70.3,70,0.785,70,0.785,70,2.14,70,2.14,70,1.19,70,1.19,100,0.395,100,0.395,5.94,47.2,16,47.2,92,30,1.15,0,,
SRPST100115,C shaped,Bottom Track,300,78100,203000,1.5,0.0147,187,280000,17000,297000,5480,655,38.7,9.53,39.9,6520,1190,82.5,30800000,118,73.8,80,0.707,80,0.707,80,1.86,80,1.86,70,1.08,70,1.08,110,0.34,110,0.34,6.1,51.2,16.5,51.2,100,30,1.15,0,,
SRPST150115,C shaped,Bottom Track,300,78100,203000,1.92,0.0188,240,709000,15500,725000,9310,599,54.4,8.04,55,11600,1060,106,66200000,175,69.2,100,0.667,100,0.667,130,1.18,130,1.18,70,1.2,70,1.2,150,0.161,150,0.161,4.17,76.2,12.2,76.2,150,30,1.15,0,,
SRPDT051075,C shaped,Head Track,,78100,203000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRPDT064075,C shaped,Head Track,,78100,203000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRPDT075075,C shaped,Head Track,,78100,203000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRPDT092075,C shaped,Head Track,,78100,203000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRPDT100075,C shaped,Head Track,,78100,203000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRPDT150075,C shaped,Head Track,,78100,203000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRPDT051115,C shaped,Head Track,,78100,203000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRPDT064115,C shaped,Head Track,,78100,203000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRPDT075115,C shaped,Head Track,,78100,203000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRPDT092115,C shaped,Head Track,,78100,203000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRPDT100115,C shaped,Head Track,,78100,203000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRPDT150115,C shaped,Head Track,,78100,203000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S51050,Inner lip,Studco,450,78100,203000,0.522,0.00512,65.2,29300,10700,40000,1160,483,21.2,12.8,24.8,1290,730,5.42,5990000,25.4,35,27.7,0.442,289,0.468,19.8,0.954,38.8,0.734,27.7,1.23,289,0.514,54.2,0.351,289,0.341,12.8,25.3,-41.5,25.3,51,35,0.5,7,,
S64050,Inner lip,Studco,450,78100,203000,0.574,0.00563,71.7,48900,11500,60400,1540,496,26.1,12.7,29,1740,767,5.95,9580000,31.8,35,31.8,0.435,358,0.437,44.9,0.463,44.9,0.463,31.8,1.16,358,0.473,63.4,0.203,89.7,0.229,11.8,31.7,-38.4,31.7,64,35,0.5,7,,
S64075,Inner lip,Studco,450,78100,203000,0.855,0.00838,107,72200,16900,89000,2270,726,26,12.6,28.9,2580,1130,19.9,13900000,47.6,52.5,29,0.974,297,0.691,29,1.16,56.4,0.881,29,2.59,297,0.75,56.4,0.376,78.7,0.417,11.8,31.7,-38.1,31.7,64,35,0.75,7,,
